//Fill Tile
Fill:0
//Layer,TileID,X,Y
0,32,-2,-2
0,1,-2,-3
0,1,-2,-4
0,1,-2,-5
0,1,-2,-6
0,28,-2,-7
0,1,-2,-8
0,23,-1,-5
0,26,0,-5
0,26,1,-5
0,22,2,-8
0,26,2,-7
0,27,2,-6
0,22,2,-5
0,26,2,-3
0,2,2,-2
0,22,2,-4
0,23,4,-2
0,27,4,-3
0,22,4,-4
0,22,4,-5
0,22,4,-6
0,22,4,-8
1,0,900,-5
1,24,200,4
1,12,400,4
0,3,-2,-9
0,2,-1,-9
0,2,0,-9
0,11,2,-9
0,33,1,-9
0,32,4,-9
0,26,3,-9
0,2,5,-9
0,4,7,-9
0,2,6,-9
0,1,7,-8
0,32,7,-7
0,23,7,-6
0,26,7,-5
0,22,7,-4
0,3,7,-3
0,33,7,-2
0,2,-1,-2
0,2,0,-2
0,2,1,-2
0,4,3,-2
0,27,5,-2
0,3,6,-2
0,22,-1,-8
0,22,0,-6
0,22,5,-3
0,22,6,-3
0,22,5,-7
0,22,6,-5
0,22,3,-5
0,22,0,-3
0,22,-1,-4
0,22,1,-4
0,22,0,-7
0,23,0,-8
0,23,1,-6
0,23,-1,-6
0,23,1,-7
0,23,1,-8
0,23,4,-7
0,23,3,-7
0,24,-1,-7
0,24,0,-4
0,24,1,-3
0,24,-1,-3
0,25,3,-4
0,25,3,-3
0,25,3,-6
0,26,3,-8
0,26,5,-8
0,26,6,-7
0,11,6,-8
0,11,5,-5
0,11,5,-4
0,11,6,-4
0,11,6,-6
0,11,5,-6
0,1,6,-1
0,27,7,-1
0,32,6,0
0,22,6,1
0,26,6,2
0,26,6,3
0,1,3,-1
0,26,4,-1
0,26,5,-1
0,1,1,-10
0,1,4,-10
0,4,1,-11
0,3,4,-11
0,2,0,-11
0,2,-1,-11
0,2,-2,-11
0,2,-4,-11
0,2,-3,-11
0,2,5,-11
0,2,6,-11
0,2,7,-11
0,2,8,-11
0,4,9,-11
0,24,10,-11
0,22,10,-12
0,11,10,-13
0,26,10,-14
0,32,10,-15
0,1,10,-16
0,1,10,-17
0,1,10,-18
0,4,10,-19
0,2,9,-19
0,2,8,-19
0,2,6,-19
0,2,7,-19
0,2,5,-19
0,2,4,-19
0,31,2,-19
0,2,3,-19
0,2,1,-19
0,2,0,-19
0,2,-1,-19
0,2,-2,-19
0,2,-3,-19
0,2,-4,-19
0,1,2,-18
0,1,2,-17
0,8,2,-16
0,1,-5,-18
0,30,-5,-17
0,5,-5,-12
0,31,-5,-19
0,29,-5,-11
0,2,-6,-19
0,2,-7,-19
0,2,-8,-19
0,2,-10,-19
0,2,-11,-19
0,2,-9,-19
0,2,-12,-19
0,2,-13,-19
0,1,-5,-10
0,1,-5,-9
0,1,-5,-8
0,2,-14,-19
0,2,-16,-19
0,2,-15,-19
0,2,-17,-19
0,3,-18,-19
0,1,-18,-18
0,33,-18,-17
0,24,-18,-16
0,11,-18,-15
0,23,-18,-14
0,22,-18,-13
0,26,-18,-11
0,27,-18,-12
0,4,-18,-10
0,1,-18,-9
0,32,-18,-8
0,30,-5,-7
0,3,-14,-15
0,4,-13,-15
0,29,-14,-14
0,29,-14,-13
0,28,-13,-14
0,28,-13,-13
0,32,-14,-12
0,33,-13,-12
0,3,-19,-17
0,32,-19,-10
0,1,-19,-16
0,1,-19,-14
0,1,-19,-15
0,1,-19,-13
0,1,-19,-12
0,1,-19,-11
0,2,-6,-7
0,2,-7,-7
0,2,-17,-8
0,2,-16,-8
0,2,-15,-8
0,2,-14,-8
0,4,-13,-8
0,1,-13,-7
0,7,-8,-7
0,1,-13,-6
0,1,-13,-5
0,24,-12,-5
0,25,-11,-5
0,11,-10,-5
0,24,-9,-5
0,22,-8,-5
0,32,-13,-4
0,23,-8,-4
0,2,-12,-4
0,2,-11,-4
0,11,-9,-4
0,4,-10,-4
0,22,-7,-4
0,2,-3,-7
0,2,-4,-7
0,4,-7,-3
0,1,-7,-2
0,1,-7,0
0,1,-7,-1
0,1,-7,1
0,29,-7,2
0,1,-7,3
0,1,-7,5
0,1,-7,4
0,33,-7,6
0,2,-8,6
0,2,-9,6
0,2,-10,6
0,2,-11,6
0,3,-12,6
0,1,-12,7
0,1,-12,9
0,1,-12,8
0,1,-12,10
0,32,-12,11
0,2,-11,11
0,2,-10,11
0,2,-9,11
0,2,-8,11
0,2,-7,11
0,2,-6,11
0,2,-5,11
0,2,-3,11
0,2,-4,11
0,2,-2,11
0,2,-1,11
0,2,1,11
0,30,3,11
0,30,2,11
0,2,0,11
0,2,4,11
0,2,6,11
0,2,8,11
0,2,9,11
0,2,5,11
0,2,7,0
0,2,8,0
0,2,9,0
0,2,10,0
0,4,11,0
0,8,3,0
0,2,-6,2
0,2,-5,2
0,2,-4,2
0,2,-3,2
0,2,-2,2
0,6,-1,2
0,32,-10,-3
0,2,-9,-3
0,2,-8,-3
0,2,7,11
0,29,2,10
0,29,2,9
0,3,2,8
0,4,3,8
0,28,3,9
0,28,3,10
0,8,11,1
0,11,11,2
0,27,11,3
0,23,11,4
0,1,11,6
0,3,11,5
0,1,11,7
0,1,11,8
0,1,11,9
0,1,11,10
0,33,11,11
0,2,10,11
0,26,7,1
0,24,7,8
0,24,2,6
0,24,-2,6
0,24,-3,8
0,24,-1,8
0,24,-1,9
0,24,-3,9
0,22,-4,6
0,24,-5,4
0,24,3,5
0,24,1,2
0,24,0,0
0,24,6,4
0,24,2,3
0,24,6,6
0,24,9,4
0,24,9,3
0,24,8,1
0,24,8,4
0,24,8,6
0,24,9,9
0,24,7,10
0,24,4,10
0,24,4,8
0,24,5,9
0,24,5,8
0,24,3,7
0,24,-9,8
0,24,-10,8
0,24,-6,9
0,25,-4,10
0,25,-11,7
0,25,-7,9
0,25,-2,10
0,25,-5,6
0,25,-5,7
0,25,-4,8
0,25,-1,7
0,25,0,7
0,25,-1,5
0,25,2,5
0,25,0,5
0,25,-3,4
0,25,-6,3
0,25,-4,5
0,27,-3,5
0,24,-5,3
0,24,-4,4
0,22,-11,10
0,22,-9,10
0,22,-6,10
0,22,-7,7
0,25,-11,8
0,25,-8,9
0,25,-7,10
0,25,-9,7
0,26,-10,7
0,26,-8,10
0,26,-10,9
0,11,-10,10
0,11,-11,9
0,11,-9,9
0,11,-8,7
0,11,-6,8
0,11,-7,8
0,11,-8,8
0,23,-6,4
0,23,-5,5
0,23,-6,6
0,23,-6,7
0,24,-6,5
0,24,-4,3
0,24,-2,4
0,24,0,3
0,24,-2,3
0,25,-3,3
0,25,-1,3
0,25,-2,5
0,25,-3,7
0,23,-2,8
0,23,-5,9
0,26,-5,10
0,26,-4,9
0,26,-3,10
0,26,-2,9
0,27,-5,8
0,26,-4,7
0,26,-2,7
0,26,-3,6
0,22,0,8
0,22,1,9
0,26,1,10
0,26,0,9
0,11,-1,10
0,11,0,10
0,11,0,6
0,11,1,7
0,11,1,4
0,11,0,4
0,23,-1,4
0,23,1,5
0,23,1,6
0,23,2,7
0,23,1,8
0,22,-1,6
0,25,1,3
0,25,0,2
0,23,2,4
0,23,3,6
0,22,4,7
0,22,5,5
0,24,5,6
0,24,4,5
0,24,4,9
0,25,6,7
0,25,8,9
0,25,9,10
0,25,10,8
0,25,10,6
0,25,8,5
0,25,7,5
0,23,4,3
0,23,5,1
0,23,2,1
0,22,3,3
0,22,9,2
0,22,10,1
0,22,9,1
0,24,9,7
0,24,7,7
0,22,6,10
0,24,5,10
0,24,8,10
0,26,10,10
0,27,10,9
0,11,6,9
0,11,6,8
0,11,7,9
0,22,5,7
0,22,4,6
0,24,9,8
0,22,8,8
0,22,8,7
0,23,3,4
0,23,5,3
0,23,3,2
0,23,4,1
0,23,5,0
0,11,4,0
0,11,2,2
0,11,4,2
0,25,5,2
0,25,3,1
0,25,5,4
0,24,4,4
0,24,7,6
0,22,6,5
0,22,10,7
0,11,10,2
0,11,10,4
0,11,7,3
0,11,8,2
0,11,9,5
0,25,7,4
0,25,10,3
0,23,7,2
0,23,9,6
0,26,8,3
0,26,10,5
0,24,0,1
0,24,2,-1
0,24,-4,0
0,22,-5,-3
0,22,-4,-5
0,22,-7,-6
0,11,-6,-6
0,11,-4,-3
0,11,-6,-4
0,11,-3,-6
0,11,-2,0
0,11,-6,-2
0,11,-5,1
0,23,-6,-5
0,23,-3,-4
0,23,-5,-5
0,23,-3,-1
0,23,-6,0
0,23,-2,1
0,24,-5,-6
0,24,-4,-2
0,24,-5,-1
0,25,-4,-6
0,25,-7,-5
0,25,-4,-4
0,25,-1,-1
0,25,1,0
0,25,-3,1
0,26,-6,-1
0,26,-4,1
0,26,0,-1
0,11,-3,-5
0,11,-6,-3
0,11,-1,1
0,26,-6,1
0,27,1,-1
0,26,2,0
0,26,-4,-1
0,11,-5,-4
0,23,-5,-2
0,22,-3,-2
0,22,1,1
0,11,-1,0
0,11,-3,-3
0,11,-5,0
0,11,-3,0
0,11,-2,-1
0,11,-9,-7
0,26,-8,-6
0,22,-9,-6
0,25,-12,-10
0,25,-9,-11
0,25,-8,-9
0,25,-10,-9
0,25,-11,-13
0,25,-7,-13
0,25,-10,-17
0,25,-6,-14
0,25,-1,-14
0,25,-3,-17
0,25,1,-15
0,25,2,-13
0,25,5,-15
0,25,-4,-13
0,25,-1,-17
0,25,-8,-15
0,25,-13,-17
0,25,-15,-12
0,25,-14,-10
0,25,-6,-10
0,23,-11,-16
0,23,-10,-13
0,23,-8,-12
0,23,-10,-15
0,23,-7,-16
0,23,-8,-17
0,23,-4,-14
0,23,-3,-15
0,23,-2,-13
0,23,1,-13
0,23,4,-14
0,23,4,-17
0,23,3,-18
0,23,2,-11
0,11,-12,-16
0,11,-11,-17
0,11,-9,-16
0,11,-9,-13
0,11,-11,-10
0,11,-12,-12
0,11,-14,-9
0,11,-15,-11
0,11,-15,-16
0,11,-16,-18
0,11,-6,-18
0,11,-10,-18
0,23,-12,-18
0,23,-14,-17
0,23,-11,-14
0,26,-8,-14
0,26,-10,-14
0,26,-5,-16
0,26,0,-12
0,26,3,-15
0,26,3,-12
0,26,4,-12
0,26,-2,-18
0,26,-4,-16
0,23,-7,-11
0,26,-6,-8
0,26,-10,-8
0,26,-12,-9
0,22,-15,-18
0,22,-15,-13
0,22,-16,-14
0,22,-16,-9
0,22,-9,-10
0,22,-7,-8
0,22,-5,-15
0,22,-7,-15
0,22,-8,-18
0,22,0,-16
0,22,1,-18
0,22,-2,-16
0,22,-2,-12
0,22,-3,-14
0,22,1,-14
0,22,3,-14
0,22,4,-13
0,11,1,-17
0,11,-1,-18
0,11,-3,-18
0,11,0,-15
0,11,-1,-15
0,11,-3,-12
0,11,-7,-12
0,11,-11,-12
0,11,-10,-11
0,11,-13,-11
0,11,-13,-9
0,11,-12,-8
0,11,-9,-8
0,22,-15,-17
0,22,-13,-18
0,22,-12,-15
0,22,-12,-13
0,22,-9,-12
0,21,-4,-8
0,21,-3,-8
0,21,-3,-9
0,21,-4,-9
0,21,-4,-10
0,21,-2,-10
0,21,-3,-10
0,21,-1,-10
0,21,0,-10
0,22,-16,-16
0,22,-17,-13
0,22,-15,-9
0,22,-16,-10
0,22,-17,-11
0,26,-16,-12
0,26,-17,-9
0,26,-17,-17
0,26,-15,-14
0,26,-17,-15
0,26,-15,-15
0,26,-9,-18
0,26,-6,-12
0,26,-5,-13
0,26,-7,-9
0,26,-11,-7
0,27,-7,-14
0,27,-8,-8
0,10,-1,-12
0,9,-4,-12
0,12,-6,-9
0,26,-6,-16
0,26,-7,-17
0,11,-4,-17
0,11,-1,-16
0,11,-8,-10
0,11,-11,-8
0,22,-16,-15
0,22,-17,-16
0,22,-11,-15
0,22,-3,-13
0,22,-3,-16
0,22,1,-12
0,22,0,-13
0,22,0,-18
0,11,-4,-18
0,11,-4,-15
0,11,-11,-18
0,11,-14,-16
0,23,-17,-14
0,23,-11,-9
0,23,-6,-13
0,23,-9,-17
0,23,-9,-14
0,24,-16,-17
0,24,-17,-18
0,24,-16,-13
0,11,-17,-12
0,11,-15,-10
0,11,-17,-10
0,11,-11,-11
0,11,-9,-9
0,11,-10,-7
0,11,-6,-11
0,11,-2,-15
0,11,2,-10
0,11,-5,-14
0,24,-10,-16
0,24,-7,-10
0,24,-14,-11
0,24,-8,-16
0,24,-13,-16
0,23,-14,-18
0,23,-12,-14
0,23,-13,-10
0,23,-8,-11
0,23,-10,-6
0,23,-2,-17
0,23,2,-12
0,22,-16,-11
0,22,-12,-17
0,22,-9,-15
0,11,-7,-18
0,11,-10,-10
0,11,-6,-15
0,11,0,-17
0,22,-10,-12
0,22,-12,-11
0,22,-6,-17
0,22,-1,-13
0,22,1,-16
0,11,-2,-14
0,22,-11,-6
0,24,-12,-7
0,26,-12,-6
0,26,-8,-13
0,24,0,-14
0,23,3,-10
0,23,6,-15
0,23,7,-14
0,23,8,-17
0,11,5,-16
0,11,9,-12
0,11,7,-12
0,11,9,-15
0,11,6,-17
0,11,5,-13
0,11,8,-14
0,11,9,-18
0,11,2,-14
0,26,2,-15
0,26,6,-12
0,26,9,-13
0,26,5,-18
0,26,7,-16
0,22,3,-16
0,22,9,-16
0,22,7,-18
0,22,7,-13
0,22,5,-14
0,26,4,-16
0,26,8,-15
0,11,3,-11
0,22,8,-13
0,22,6,-18
0,25,4,-18
0,25,3,-17
0,25,6,-13
0,25,9,-14
0,25,8,-16
0,11,8,-18
0,11,3,-13
0,11,8,-12
0,26,7,-15
0,26,5,-17
0,24,4,-15
0,24,9,-17
0,26,7,-17
0,26,5,-12
0,25,6,-16
0,11,6,-14
0,33,8,-7
0,3,8,-8
0,33,9,-8
0,1,9,-9
0,1,9,-10
0,2,8,-3
0,2,10,-3
0,2,9,-3
0,6,11,-3
0,26,12,4
0,2,14,4
0,2,15,4
0,3,13,4
0,2,17,4
0,2,16,4
0,2,18,4
0,2,20,4
0,2,22,4
0,2,19,4
0,2,21,4
0,33,23,4
