//Fill Tile
Fill:0
//Layer,TileID,X,Y
<<<<<<< HEAD
0,5,-9,8
0,2,-9,7
0,2,-9,6
0,2,-9,5
0,2,-9,4
0,2,-9,3
0,2,-9,2
0,2,-9,1
0,2,-9,0
0,2,-9,-1
0,2,-9,-2
0,2,-9,-3
0,2,-9,-4
0,2,-9,-5
0,2,-9,-6
0,2,-9,-7
0,2,-9,-8
0,6,-8,8
0,1,-8,7
0,1,-8,6
0,1,-8,5
0,1,-8,4
0,1,-8,3
0,1,-8,2
0,1,-8,1
0,1,-8,0
0,1,-8,-1
0,1,-8,-2
0,1,-8,-3
0,1,-8,-4
0,1,-8,-5
0,1,-8,-6
0,1,-8,-7
0,3,-8,-8
=======
0,5,-8,8
0,2,-8,7
0,2,-8,6
0,2,-8,5
0,2,-8,4
0,2,-8,3
0,2,-8,2
0,2,-8,1
0,2,-8,0
0,2,-8,-1
0,2,-8,-2
0,2,-8,-3
0,2,-8,-4
0,2,-8,-5
0,2,-8,-6
0,2,-8,-7
0,2,-8,-8
>>>>>>> 2a772c542c144b2eac14a3d9b27027acf0710c73
0,6,-7,8
0,1,-7,7
0,1,-7,6
0,1,-7,5
0,1,-7,4
0,1,-7,3
0,1,-7,2
0,1,-7,1
0,1,-7,0
0,1,-7,-1
0,1,-7,-2
0,1,-7,-3
0,1,-7,-4
0,1,-7,-5
0,1,-7,-6
0,1,-7,-7
0,3,-7,-8
0,6,-6,8
0,1,-6,7
0,1,-6,6
0,1,-6,5
0,1,-6,4
0,1,-6,3
0,1,-6,2
0,1,-6,1
0,1,-6,0
0,1,-6,-1
0,1,-6,-2
0,1,-6,-3
0,1,-6,-4
0,1,-6,-5
0,1,-6,-6
0,1,-6,-7
0,3,-6,-8
0,6,-5,8
0,1,-5,7
0,1,-5,6
0,1,-5,5
0,1,-5,4
0,1,-5,3
0,1,-5,2
0,1,-5,1
0,1,-5,0
0,1,-5,-1
0,1,-5,-2
0,1,-5,-3
0,1,-5,-4
0,1,-5,-5
0,1,-5,-6
0,1,-5,-7
0,3,-5,-8
0,6,-4,8
0,1,-4,7
0,1,-4,6
0,1,-4,5
0,1,-4,4
0,1,-4,3
0,1,-4,2
0,1,-4,1
0,1,-4,0
0,1,-4,-1
0,1,-4,-2
0,1,-4,-3
0,1,-4,-4
0,1,-4,-5
0,1,-4,-6
0,1,-4,-7
0,3,-4,-8
0,6,-3,8
0,1,-3,7
0,1,-3,6
0,1,-3,5
0,1,-3,4
0,1,-3,3
0,1,-3,2
0,1,-3,1
0,1,-3,0
0,1,-3,-1
0,1,-3,-2
0,1,-3,-3
0,1,-3,-4
0,1,-3,-5
0,1,-3,-6
0,1,-3,-7
0,3,-3,-8
0,6,-2,8
0,1,-2,7
0,1,-2,6
0,1,-2,5
0,1,-2,4
0,1,-2,3
0,1,-2,2
0,1,-2,1
0,1,-2,0
0,1,-2,-1
0,1,-2,-2
0,1,-2,-3
0,1,-2,-4
0,1,-2,-5
0,1,-2,-6
0,1,-2,-7
0,3,-2,-8
0,6,-1,8
0,1,-1,7
0,1,-1,6
0,1,-1,5
0,1,-1,4
0,1,-1,3
0,1,-1,2
0,1,-1,1
0,1,-1,0
0,1,-1,-1
0,1,-1,-2
0,1,-1,-3
0,1,-1,-4
0,1,-1,-5
0,1,-1,-6
0,1,-1,-7
0,6,0,8
0,1,0,7
0,1,0,6
0,1,0,5
0,1,0,4
0,1,0,3
0,1,0,2
0,1,0,1
0,1,0,0
0,1,0,-1
0,1,0,-2
0,1,0,-3
0,1,0,-4
0,1,0,-5
0,1,0,-6
0,1,0,-7
0,6,1,8
0,1,1,7
0,1,1,6
0,1,1,5
0,1,1,4
0,1,1,3
0,1,1,2
0,1,1,1
0,1,1,0
0,1,1,-1
0,1,1,-2
0,1,1,-3
0,1,1,-4
0,1,1,-5
0,1,1,-6
0,1,1,-7
0,6,2,8
0,1,2,7
0,1,2,6
0,1,2,5
0,1,2,4
0,1,2,3
0,1,2,2
0,1,2,1
0,1,2,0
0,1,2,-1
0,1,2,-2
0,1,2,-3
0,1,2,-4
0,1,2,-5
0,1,2,-6
0,1,2,-7
0,3,2,-8
0,6,3,8
0,1,3,7
0,1,3,6
0,1,3,5
0,1,3,4
0,1,3,3
0,1,3,2
0,1,3,1
0,1,3,0
0,1,3,-1
0,1,3,-2
0,1,3,-3
0,1,3,-4
0,1,3,-5
0,1,3,-6
0,1,3,-7
0,3,3,-8
0,6,4,8
0,1,4,7
0,1,4,6
0,1,4,5
0,1,4,4
0,1,4,3
0,1,4,2
0,1,4,1
0,1,4,0
0,1,4,-1
0,1,4,-2
0,1,4,-3
0,1,4,-4
0,1,4,-5
0,1,4,-6
0,1,4,-7
0,3,4,-8
0,6,5,8
0,1,5,7
0,1,5,6
0,1,5,5
0,1,5,4
0,1,5,3
0,1,5,2
0,1,5,1
0,1,5,0
0,1,5,-1
0,1,5,-2
0,1,5,-3
0,1,5,-4
0,1,5,-5
0,1,5,-6
0,1,5,-7
0,3,5,-8
0,6,6,8
0,1,6,7
0,1,6,6
0,1,6,5
0,1,6,4
0,1,6,3
0,1,6,2
0,1,6,1
0,1,6,0
0,1,6,-1
0,1,6,-2
0,1,6,-3
0,1,6,-4
0,1,6,-5
0,1,6,-6
0,1,6,-7
0,3,6,-8
0,6,7,8
0,1,7,7
0,1,7,6
0,1,7,5
0,1,7,4
0,1,7,3
0,1,7,2
0,1,7,1
0,1,7,0
0,1,7,-1
0,1,7,-2
0,1,7,-3
0,1,7,-4
0,1,7,-5
0,1,7,-6
0,1,7,-7
0,3,7,-8
<<<<<<< HEAD
0,6,8,8
0,1,8,7
0,1,8,6
0,1,8,5
0,1,8,4
0,1,8,3
0,1,8,2
0,1,8,1
0,1,8,0
0,1,8,-1
0,1,8,-2
0,1,8,-3
0,1,8,-4
0,1,8,-5
0,1,8,-6
0,1,8,-7
0,3,8,-8
0,7,9,8
0,4,9,7
0,4,9,6
0,4,9,5
0,4,9,4
0,4,9,3
0,4,9,2
0,4,9,1
0,4,9,0
0,4,9,-1
0,4,9,-2
0,4,9,-3
0,4,9,-4
0,4,9,-5
0,4,9,-6
0,4,9,-7
0,4,9,-8
0,5,-10,-23
0,2,-10,-24
0,2,-10,-25
0,2,-10,-26
0,2,-10,-27
0,2,-10,-28
0,2,-10,-29
0,2,-10,-30
0,2,-10,-31
0,2,-10,-32
0,2,-10,-33
0,2,-10,-34
0,2,-10,-35
0,2,-10,-36
0,2,-10,-37
0,2,-10,-38
0,2,-10,-39
0,6,-9,-23
0,1,-9,-24
0,1,-9,-25
0,1,-9,-26
0,1,-9,-27
0,1,-9,-28
0,1,-9,-29
0,1,-9,-30
0,1,-9,-31
0,1,-9,-32
0,1,-9,-33
0,1,-9,-34
0,1,-9,-35
0,1,-9,-36
0,1,-9,-37
0,1,-9,-38
0,3,-9,-39
0,6,-8,-23
0,1,-8,-24
0,1,-8,-25
0,1,-8,-26
0,1,-8,-27
0,1,-8,-28
0,1,-8,-29
0,1,-8,-30
0,1,-8,-31
0,1,-8,-32
0,1,-8,-33
0,1,-8,-34
0,1,-8,-35
0,1,-8,-36
0,1,-8,-37
0,1,-8,-38
0,3,-8,-39
0,6,-7,-23
=======
0,7,8,8
0,4,8,7
0,4,8,6
0,4,8,5
0,4,8,4
0,4,8,3
0,4,8,2
0,4,8,1
0,4,8,0
0,4,8,-1
0,4,8,-2
0,4,8,-3
0,4,8,-4
0,4,8,-5
0,4,8,-6
0,4,8,-7
